value,description,codesystem,code,hpo
362,craniosynostosis unspecified,cineas,362,HP:0001363
369,achromatopsia ar,cineas,369,HP:0011516
381,acrofacial dysostosis type nager,cineas,381,
399,amelogenesis imperfecta unspecified,cineas,399,HP:0000705
401,angelman syndrome type unspecified,cineas,401,
414,marden walker syndrome ar,cineas,414,
416,brachydactyly type c unspecified ad,cineas,416,HP:0009373
431,cataract unspecified,cineas,431,
441,inborn error of metabolism unspecified,cineas,441,
443,spinal muscular atrophy unspecified,cineas,443,HP:0007269
448,situs inversus totalis,cineas,448,HP:0001696
449,situs inversus abdominal organs,cineas,449,HP:0003363
450,situs inversus thoracic organs,cineas,450,HP:0001651
457,spinal muscular atrophy type 1,cineas,457,HP:0007269
460,macrocephaly unspecified,cineas,460,HP:0000256
463,mental retardation slight,cineas,463,HP:0001249
464,mental retardation medium,cineas,464,HP:0001249
465,mental retardation severe,cineas,465,HP:0010864
466,mental retardation familial,cineas,466,HP:0001249
467,mental retardation unspecified xl,cineas,467,HP:0001249
470,antitrypsin,cineas,470,
473,hereditary spherocytosis ad,cineas,473,
477,kidney agenesis unilateral,cineas,477,HP:0000122
478,kidney agenesis bilateral,cineas,478,HP:0012586
482,olivopontocerebellar atrophy unspecified,cineas,482,HP:0002542
492,myopathy unspecified,cineas,492,
494,scapuloperoneal myopathy ad,cineas,494,HP:0009054
495,incontinentia pigmenti achromians ad,cineas,495,
497,leukodystrophy unspecified,cineas,497,HP:0002415
498,krabbe disease,cineas,498,
502,heterozygous carrier,cineas,502,
504,disorder in first degree relative,cineas,504,
509,early urethral obstruction sequence unspecified,cineas,509,
511,autosome mosaicism,cineas,511,
513,trisomy x unspecified,cineas,513,
515,ventricular septal defect inheritance unspecified,cineas,515,HP:0011622
516,atrial septal defect inheritance unspecified,cineas,516,HP:0001631
517,ebstein anomaly inheritance unspecified,cineas,517,
518,large vessel transposition unspecified,cineas,518,
529,rubinstein taybi syndrome unspecified,cineas,529,
532,kidney dysplasia unspecified,cineas,532,
536,myopathy mitochondrial unspecified,cineas,536,HP:0003737
538,asplenia polysplenia syndrome ar,cineas,538,
540,bicuspid aortic valve inheritance unspecified,cineas,540,HP:0001647
548,hepatitis unspecified,cineas,548,
550,polysyndactyly unspecified,cineas,550,
576,osteopoikilosis ad,cineas,576,HP:0010739
585,vertebral segmentation defect,cineas,585,HP:0003422
598,epidermal nevus syndrome ad,cineas,598,HP:0010816
601,contracture joint,cineas,601,HP:0001371
612,cantrell syndrome,cineas,612,
620,chondrodysplasia punctata unspecified xlr,cineas,620,
669,oculodentoosseous dysplasia unspecified,cineas,669,
672,greig syndrome ad,cineas,672,
676,hemifacial microsomia unspecified,cineas,676,
678,klippel feil syndrome unspecified,cineas,678,HP:0004602
679,wildervanck syndrome,cineas,679,
685,roberts syndrome ar,cineas,685,
688,thrombocytopenia radial aplasia syndrome,cineas,688,
689,orofacialdigital syndrome unspecified,cineas,689,
699,multicentric osteolysis type hajdu cheney,cineas,699,
705,hypercalcemia idiopathic of infancy ad,cineas,705,
706,vitamin d dependent rickets unspecified,cineas,706,
709,mucopolysaccharidosis type 3a,cineas,709,
711,mucopolysaccharidosis type 3,cineas,711,
737,ureter stenosis,cineas,737,HP:0008661
752,adams-oliver syndrome ad,cineas,752,
774,athyreotism inheritance unspecified,cineas,774,
777,asymmetric crying face,cineas,777,HP:0011333
781,bipolar psychosis,cineas,781,
795,hearing loss unspecified,cineas,795,
797,deafness bilateral unspecified,cineas,797,HP:0009900
800,deafness sensorineural unspecified,cineas,800,HP:0000407
812,dermal hypoplasia unspecified,cineas,812,
814,focal dermal aplasia,cineas,814,HP:0007510
822,dermoid cyst localisation unspecified,cineas,822,
833,diabetes mellitus type mody ad,cineas,833,HP:0100651
855,pituitary dwarfism unspecified,cineas,855,HP:0000839
861,peters anomaly unspecified,cineas,861,HP:0000659
863,dyskinesia unspecified,cineas,863,
864,familial paroxysmal dyskinesia,cineas,864,HP:0007166
868,dystonia unspecified,cineas,868,
875,ectodermal dysplasia unspecified,cineas,875,HP:0000968
883,angioneurotic edema ad,cineas,883,HP:0100665
892,exostosis unspecified,cineas,892,
897,multiple endocrine neoplasia unspecified,cineas,897,
898,multiple endocrine neoplasia type 1 ad,cineas,898,
901,myoclonic epilepsy,cineas,901,
905,esophagus atresia inheritance unspecified,cineas,905,
910,fetal anticonvulsant drug syndrome unspecified,cineas,910,
914,fetal toxoplasmosis infection syndrome,cineas,914,
916,fetal valproate syndrome,cineas,916,
920,hypertelorism unspecified,cineas,920,
927,hypospadias,cineas,927,HP:0000047
936,hemihypertrophy unspecified,cineas,936,HP:0005323
939,polyposis adenomatous intestinal familial unspecified ad,cineas,939,
942,retinitis pigmentosa unspecified,cineas,942,HP:0000510
946,molybdenum cofactor deficiency,cineas,946,HP:0003570
958,carnitine palmitoyltransferase 2 deficiency,cineas,958,
961,spastic paraplegia hereditary ar,cineas,961,HP:0001258
968,spastic paraplegia unspecified,cineas,968,HP:0001258
974,spastic ataxia,cineas,974,HP:0002497
977,spastic paraparesis,cineas,977,HP:0002313
979,chromosome aberration unspecified,cineas,979,
980,chromosome duplication unspecified,cineas,980,
981,chromosome deletion unspecified,cineas,981,
986,chromosome variant unspecified,cineas,986,
990,chromosome translocation unbalanced,cineas,990,
992,rett syndrome,cineas,992,HP:0100580
995,radioulnar synostoses unspecified,cineas,995,HP:0002974
997,aorta coarctation unspecified,cineas,997,HP:0001680
1000,fragile x chromosome unspecified,cineas,1000,
1001,chromosome translocation balanced,cineas,1001,
1002,thrombocytopenia,cineas,1002,HP:0001873
1004,fetal hydrops ar,cineas,1004,HP:0001789
1005,hygroma colli inheritance unspecified,cineas,1005,
1006,echographic fetal malformation unspecified,cineas,1006,
1007,metabolic disorder unspecified,cineas,1007,
1011,asphyxia,cineas,1011,HP:0012768
1012,encephalopathy unspecified,cineas,1012,HP:0001298
1013,cholestasis intrahepatic inheritance unspecified,cineas,1013,HP:0001406
1014,perinatal pathology,cineas,1014,
1031,nose malformation unspecified,cineas,1031,
1032,face dysmorphia,cineas,1032,HP:0001999
1036,galactokinase deficiency,cineas,1036,HP:0025130
1045,glycogen storage disease type 5,cineas,1045,
1048,gonadal dysgenesis xx type with deafness ar,cineas,1048,
1049,gonadal dysgenesis xx type ar,cineas,1049,HP:0000133
1054,ichthyosis xl,cineas,1054,HP:0008064
1056,cleft lip palate with mucous cysts of lower lip ad,cineas,1056,
1059,myopathy centronuclear xl,cineas,1059,
1066,neuropathy painful ar,cineas,1066,HP:0003477
1075,chorea familial benign ar,cineas,1075,
1076,chorea hereditary benign ad,cineas,1076,
1093,herpes virus sensitivity,cineas,1093,
1102,hydrocephalus xl,cineas,1102,HP:0000238
1114,fibromatosis juvenile hyaline ar,cineas,1114,
1167,muscular dystrophy 1 ar,cineas,1167,HP:0003560
1173,autoimmune disease inheritance unspecified,cineas,1173,
1176,cancer of colon unspecified ad,cineas,1176,
1178,cancer of the breast familial unspecified ad,cineas,1178,
1180,hallervorden spatz disease ar,cineas,1180,
1191,corpus callosum agenesis unspecified,cineas,1191,HP:0001274
1203,premature ovarian failure familial,cineas,1203,HP:0008209
1205,ovarian tumor unspecified,cineas,1205,HP:0100615
1230,retinitis pigmentosa 1 ad,cineas,1230,HP:0000510
1240,tetralogy of fallot inheritance unspecified,cineas,1240,
1249,hypermobility syndrome,cineas,1249,
1264,thrombocytopenia unspecified,cineas,1264,HP:0001873
1268,torsion dystonia ad,cineas,1268,HP:0001304
1273,turcot syndrome ar,cineas,1273,
1282,phenylketonuria,cineas,1282,
1284,uncombable hair syndrome ad,cineas,1284,
1292,hypotonia unspecified,cineas,1292,
1295,anodontia partial inheritance unspecified,cineas,1295,
1311,niemann pick disease type C,cineas,1311,
1347,propionic aciduria,cineas,1347,HP:0003571
1391,cardiomyopathy unspecified,cineas,1391,HP:0001638
1392,cataract congenital,cineas,1392,HP:0000519
1398,hepatomegaly,cineas,1398,HP:0002240
1400,hydranencephaly,cineas,1400,HP:0002324
1402,intrauterine fetal death,cineas,1402,
1406,limb reduction deformities unspecified,cineas,1406,
1409,megaloureter,cineas,1409,HP:0000072
1410,mental retardation moderate,cineas,1410,HP:0002342
1412,micrognathia,cineas,1412,HP:0000347
1414,micropenis,cineas,1414,HP:0000054
1416,oligohydramnios,cineas,1416,HP:0001562
1417,omphalocele,cineas,1417,HP:0001539
1427,ornithine transcarbamoylase deficiency,cineas,1427,
1429,lupus erythematosus systemic unspecified,cineas,1429,HP:0002725
1431,anal atresia,cineas,1431,HP:0002023
1432,pancytopenia unspecified,cineas,1432,HP:0001876
1433,growth retardation unspecified,cineas,1433,HP:0001510
1434,growth accelaration unspecified,cineas,1434,
1439,sexual development abnormal,cineas,1439,
1443,arachnoidal cyst,cineas,1443,HP:0100702
1446,mitral valve prolapse ad,cineas,1446,HP:0001634
1447,speech retardation,cineas,1447,
1452,sirenomelia,cineas,1452,HP:0010497
1466,aplasia cutis congenital,cineas,1466,HP:0001057
1469,wilson disease,cineas,1469,
1477,psychomotor retardation xl unspecified,cineas,1477,HP:0025356
1480,thalassemia alpha,cineas,1480,
1485,psychosis unspecified,cineas,1485,
1486,autism,cineas,1486,HP:0000717
1487,nonne milroy syndrome,cineas,1487,
1497,pterygium syndrome ar,cineas,1497,
1506,cardiac dysrhythmia unspecified,cineas,1506,
1508,narcolepsy ad,cineas,1508,HP:0030050
1512,scoliosis congenital,cineas,1512,HP:0008458
1518,varicosis legs,cineas,1518,
1519,stomatitis aphthous,cineas,1519,HP:0011107
1532,glutaricaciduria unspecified,cineas,1532,HP:0003150
1542,methylmalonic acidemia unspecified,cineas,1542,HP:0002912
1546,familial hypercholesterolemia,cineas,1546,HP:0003124
1565,sudden infant death syndrome,cineas,1565,
1567,leigh encephalomyelopathy infantile ar,cineas,1567,HP:0007105
1576,tyrosinemia type 1,cineas,1576,HP:0003231
1582,granulomatous disease chronic xl,cineas,1582,
1588,normal fetus female,cineas,1588,
1589,normal fetus male,cineas,1589,
1599,alpha-aminoadipicaciduria,cineas,1599,HP:0410309
1601,carbamoyl phosphate synthetase deficiency,cineas,1601,
1604,cholestasis unspecified,cineas,1604,
1618,hyperprolinemia type 1,cineas,1618,HP:0008358
1622,immune deficiency disease unspecified,cineas,1622,
1626,microphthalmia or anophthalmos with associated anomalies,cineas,1626,
1638,renal agenesis bilateral,cineas,1638,HP:0010958
1645,xanthinuria,cineas,1645,HP:0010934
1646,strabismus unspecified,cineas,1646,
1649,goitre unspecified,cineas,1649,
1656,neurological disease unspecified,cineas,1656,
1663,epidermolytic hyperkeratosis ad,cineas,1663,HP:0007475
1665,ataxia cerebellar ad,cineas,1665,HP:0001251
1672,paragangliomata unspecified,cineas,1672,HP:0002668
1673,pancreatitis hereditary,cineas,1673,
1674,truncus unspecified,cineas,1674,
1706,limb body wall complex,cineas,1706,
1720,adrenal insufficiency,cineas,1720,HP:0000846
1724,glycogen storage disease 4 infantile ar,cineas,1724,
1729,aortic valve insufficiency congenital,cineas,1729,HP:0001659
1730,aortic valve stenosis congenital inheritance unspecified,cineas,1730,
1733,cafe au lait spot,cineas,1733,HP:0000957
1735,cardiac arrest,cineas,1735,HP:0001695
1739,cholelithiasis unspecified,cineas,1739,HP:0001081
1742,colitis ulcerosa,cineas,1742,HP:0100279
1744,crohn disease inheritance unspecified,cineas,1744,
1746,cystinuria,cineas,1746,HP:0003131
1748,depigmentation unspecified,cineas,1748,
1758,hemiplegia unspecified,cineas,1758,
1760,hydronephrosis congenital,cineas,1760,HP:0000126
1762,hypertension,cineas,1762,HP:0000822
1767,infantile hemiplegia unspecified,cineas,1767,
1768,krabbe disease infantile,cineas,1768,
1773,malignant melanoma unspecified,cineas,1773,HP:0002861
1791,myocardial infarction acute,cineas,1791,HP:0001658
1792,myopia,cineas,1792,HP:0000545
1794,nevus unspecified,cineas,1794,
1801,patent ductus arteriosus,cineas,1801,HP:0001643
1805,precocious puberty,cineas,1805,HP:0000826
1812,spinocerebellar disease unspecified,cineas,1812,
1816,urethra stenosis congenital,cineas,1816,HP:0008661
1828,trichothiodystrophy with dna repair defect non xp4,cineas,1828,
1842,maple syrup urine disease unspecified,cineas,1842,
1846,trisomy 22 unspecified,cineas,1846,
1850,triploidy syndrome mosaicism,cineas,1850,
1857,trisomy 12 unspecified,cineas,1857,
1863,partial monosomy xp syndrome,cineas,1863,
1865,xxx syndrome,cineas,1865,
1867,xyy syndrome,cineas,1867,
1870,partial monosomy (1)(pter),cineas,1870,
1872,partial monosomy (1)(q),cineas,1872,
1873,partial monosomy (1)(qter),cineas,1873,
1874,partial monosomy (1)(q2),cineas,1874,
1878,partial monosomy (2)(p),cineas,1878,
1882,partial monosomy (2)(q),cineas,1882,
1888,partial trisomy (3)(p),cineas,1888,
1890,partial monosomy (3)(q),cineas,1890,
1908,microcephaly ar,cineas,1908,HP:0000252
1909,partial trisomy (6)(p2),cineas,1909,
1915,partial monosomy (7)(q),cineas,1915,
1919,partial monosomy (8)(p),cineas,1919,
1921,partial trisomy (8)(p),cineas,1921,
1922,partial monosomy (8)(q),cineas,1922,
1925,partial monosomy (9)(p),cineas,1925,
1927,partial monosomy (9)(q),cineas,1927,
1930,partial monosomy (10)(p),cineas,1930,
1937,partial monosomy (11)(q),cineas,1937,
1951,partial monosomy (15)(q),cineas,1951,
1952,partial trisomy (15)(q),cineas,1952,
1955,partial monosomy (16)(p),cineas,1955,
1956,partial trisomy (16)(p),cineas,1956,
1960,partial trisomy (17)(p12),cineas,1960,
1973,partial trisomy (19)(q),cineas,1973,
1978,partial monosomy (21)(q),cineas,1978,
1980,partial monosomy (22)(q),cineas,1980,
1981,partial trisomy (22)(q),cineas,1981,
1984,microcephaly ad,cineas,1984,HP:0000252
1991,optic nerve tumor glioma unspecified,cineas,1991,
1994,cystic hygroma,cineas,1994,HP:0000476
1996,convulsions febrile inheritance unspecified,cineas,1996,
1997,lennox gastaut syndrome,cineas,1997,
1998,childhood absence epilepsy,cineas,1998,
2000,juvenile myoclonic epilepsy,cineas,2000,
2001,temporal lobe epilepsy,cineas,2001,
2003,rolandic epilepsy,cineas,2003,
2010,progressive myoclonic epilepsy,cineas,2010,
2011,epilepsy unclassifiable,cineas,2011,
2012,neonatal seizures,cineas,2012,HP:0032807
2017,respiratory distress syndrome inheritance unspecified,cineas,2017,HP:0033677
2018,aortic valve atresia,cineas,2018,HP:0010883
2023,polycystic kidneys unspecified,cineas,2023,HP:0000113
2025,multiple congenital anomalies of the brain,cineas,2025,
2028,double outlet right ventricle,cineas,2028,HP:0001719
2068,craniofrontonasal dysplasia xl,cineas,2068,
2069,oeis complex,cineas,2069,
2075,hydrocephaly congenital unspecified,cineas,2075,
2077,wolf hirschhorn syndrome unspecified,cineas,2077,
2082,fistula tracheoesophageal inheritance unspecified,cineas,2082,HP:0002575
2083,fetal hydrops inheritance unknown,cineas,2083,
2084,diabetus insipidus cause and inheritance unspecified,cineas,2084,
2087,infantile spasms inheritance unknown,cineas,2087,
2089,retinal dysplasia inheritance unspecified,cineas,2089,
2090,mitral valve prolapse inheritance unspecified,cineas,2090,
2094,limb reduction deficiency unspecified,cineas,2094,
2095,aortic valve insufficiency unspecified,cineas,2095,
2097,aortic valve stenosis unspecified,cineas,2097,HP:0001650
2103,postnatal growth retardation failure to thrive,cineas,2103,HP:0001508
2104,postnatal growth retardation unspecified,cineas,2104,HP:0008897
2105,postnatal growth retardation short stature inheritance unspecified,cineas,2105,
2106,postnatal growth retardation familial short stature inheritance unspecified,cineas,2106,
2107,prenatal growth retardation unspecified,cineas,2107,HP:0001511
2110,polycystic kidneys potter type 3 apkd 1 ad,cineas,2110,
2111,holoprosencephaly unspecified,cineas,2111,HP:0001360
2114,hernia inguinal inheritance unspecified,cineas,2114,
2115,hernia diaphragmatic ad,cineas,2115,HP:0000776
2116,nail dysplasia unspecified,cineas,2116,HP:0002164
2121,tetralogy of fallot ad,cineas,2121,HP:0001636
2124,communicating hydrocephalus acquired,cineas,2124,HP:0001334
2128,myasthenia gravis ar,cineas,2128,HP:0003473
2133,dandy walker syndrome inheritance unspecified,cineas,2133,
2142,epilepsy centralopathic inheritance unspecified,cineas,2142,
2144,gilles de la tourette syndrome inheritance unspecified,cineas,2144,
2166,leber optic nerve atrophy mtdna,cineas,2166,HP:0001112
2168,duane syndrome inheritance unspecified,cineas,2168,
2169,congenital nystagmus inheritance unspecified,cineas,2169,
2171,blepharophimosis unspecified,cineas,2171,HP:0000581
2191,nephronophtisis familial juvenile ar,cineas,2191,HP:0000090
2194,oligohydramnios sequence due to longstanding rupture of membranes,cineas,2194,
2217,prader-willi syndrome uniparental disomy,cineas,2217,
2218,prader-willi syndrome de novo deletion chromosome (15)(q11q13),cineas,2218,
2227,pierre robin syndrome ar,cineas,2227,
2231,usher syndrome type 2 ar,cineas,2231,
2238,syndrome charge ad,cineas,2238,
2248,jejunal atresia familial,cineas,2248,HP:0005235
2251,hypoplastic left heart syndrome familial,cineas,2251,HP:0010954
2256,bicuspid aortic valve ad,cineas,2256,HP:0001647
2273,neurofibromatosis segmental type,cineas,2273,HP:0007524
2276,panhypopituitarism inheritance unspecified,cineas,2276,
2300,peroxisomal disorder unspecified,cineas,2300,
2309,mediterranean fever familial ar,cineas,2309,
2324,cerebrotendinous xanthomatosis type 1 ar,cineas,2324,
2344,liver insufficiency unspecified,cineas,2344,
2346,primary sclerotic cholangitis,cineas,2346,HP:0030991
2353,spina bifida with hydrocephalus unspecified,cineas,2353,
2354,cerebellum hypoplasia inheritance unspecified,cineas,2354,HP:0001321
2355,vermis agenesis cerebelli,cineas,2355,HP:0002335
2357,megalencephaly ad,cineas,2357,HP:0001355
2359,microphthalmos unilateral,cineas,2359,HP:0011480
2360,microphthalmos bilateral,cineas,2360,HP:0007633
2362,encephalocele occipital,cineas,2362,HP:0002085
2363,microcephaly xl,cineas,2363,HP:0000252
2365,lissencephaly unspecified,cineas,2365,HP:0001339
2366,schizencephaly unspecified,cineas,2366,HP:0010636
2368,cleft lip palate unilateral,cineas,2368,HP:0100334
2369,cleft lip palate bilateral,cineas,2369,HP:0002744
2370,malrotation ileum inheritance unspecified,cineas,2370,
2377,horseshoe kidney,cineas,2377,HP:0000085
2378,clubbed fingers inheritance unspecified,cineas,2378,
2382,foramina parietalia permagna ad,cineas,2382,
2388,acanthosis nigricans ad,cineas,2388,HP:0000956
2394,klinefelter syndrome karyotype xxy,cineas,2394,
2399,dysmorphism unspecified,cineas,2399,
2406,angelman syndrome uniparental disomy,cineas,2406,
2407,floating harbor syndrome ad,cineas,2407,HP:0001357
2412,fg syndrome xl,cineas,2412,
2415,single umbilical artery,cineas,2415,HP:0001195
2418,chemotherapy teratogenicity unspecified,cineas,2418,
2432,polydactyly preaxial upper limbs,cineas,2432,HP:0100258
2433,polydactyly preaxial lower limbs,cineas,2433,HP:0100258
2437,atrial septum defect primum type inheritance unspecified,cineas,2437,HP:0010445
2439,cleft hard palate unspecified,cineas,2439,HP:0410005
2440,uvula bifid ad,cineas,2440,HP:0000193
2449,hydrocephalus obstructive unspecified,cineas,2449,
2452,aneurysm aortic thoracal,cineas,2452,HP:0012727
2465,spina bifida aperta site unspecified with hydrocephalus,cineas,2465,
2484,valvular pulmonary stenosis congenital,cineas,2484,HP:0001642
2485,down syndrome trisomy 21 chromosome unspecified,cineas,2485,
2487,aorta coarctation preductal,cineas,2487,HP:0005151
2494,kidney dysplasia multicystic,cineas,2494,HP:0000003
2499,hirschsprung disease inheritance unspecified,cineas,2499,
2500,long qt syndrome 1,cineas,2500,HP:0001657
2501,hypogonadotrophic hypogonadism unspecified,cineas,2501,HP:0000044
2514,charcot-marie-tooth disease slow nerve conduction type not linked to duffy ad,cineas,2514,
2515,convulsions benign familial neonatal linked to chromosome 20,cineas,2515,
2522,ectodermal dysplasia with cleft lip and cleft palate ad,cineas,2522,
2528,lactose intolerance congenital ad,cineas,2528,HP:0004789
2532,macrocephaly benign familial ad,cineas,2532,
2566,pyruvate dehydrogenase complex e1-alpha polypeptide-1 xl,cineas,2566,
2573,malignant neoplasm colon unspecified,cineas,2573,HP:0100836
2575,malignant neoplasm pancreas,cineas,2575,HP:0002894
2579,malignant neoplasm breast inheritance unspecified,cineas,2579,
2582,malignant neoplasm ovary or adnexa unspecified,cineas,2582,
2588,astrocytoma juvenile onset,cineas,2588,
2612,hypothyroidism autoimmune unspecified,cineas,2612,HP:0011771
2624,hyperlipidemia unspecified,cineas,2624,HP:0003077
2644,depressive disorder unspecified,cineas,2644,
2646,hyperkinetic behavior anomaly,cineas,2646,
2648,mental retardation profound,cineas,2648,HP:0002187
2650,encephalomyopathy mitochondrial unspecified,cineas,2650,HP:0006789
2651,encephalomyelopathy unspecified,cineas,2651,
2655,myoclonus familial type and inheritance unspecified,cineas,2655,
2656,myoclonus non-epileptic unspecified,cineas,2656,
2659,hemiplegia familial unspecified,cineas,2659,
2663,epilepsy partial type unspecified,cineas,2663,
2665,porencephalic cyst unspecified,cineas,2665,HP:0002132
2680,nystagmus unspecified,cineas,2680,
2694,pericarditis unspecified,cineas,2694,
2695,cardiomyopathy hypertrophic unspecified,cineas,2695,HP:0001639
2700,atrial fibrillation unspecified,cineas,2700,HP:0005110
2702,hemorrhage intracerebral unspecified,cineas,2702,HP:0001342
2703,hemorrhage intracranial unspecified,cineas,2703,HP:0002170
2709,moyamoya disease inheritance unspecified,cineas,2709,
2712,vascular disease peripheral unspecified,cineas,2712,
2720,pulmonary fibrosis interstitial unspecified,cineas,2720,
2721,fibrosis lung unspecified,cineas,2721,
2723,teeth anomaly unspecified,cineas,2723,
2728,hernia umbilical unspecified,cineas,2728,HP:0001537
2752,arthritis unspecified,cineas,2752,
2755,thorax anomaly acquired unspecified,cineas,2755,
2759,corpus callosum hypoplasia,cineas,2759,HP:0006849
2760,polymicrogyria unspecified,cineas,2760,HP:0002126
2767,hypoplasia optic nerve inheritance unspecified,cineas,2767,HP:0000609
2768,coloboma choroideal congenital,cineas,2768,HP:0000611
2774,preauricular appendices unspecified,cineas,2774,
2776,atrial septum defect secundum type inheritance unspecified,cineas,2776,HP:0001684
2778,heart malformation complex congenital unspecified,cineas,2778,
2779,atresia pulmonary valve unspecified,cineas,2779,HP:0010882
2780,hypoplasia heart unspecified,cineas,2780,
2781,heart valve dysplasia unspecified,cineas,2781,
2782,aortic stenosis supravalvular unspecified,cineas,2782,HP:0004381
2783,atresia pulmonary artery unspecified,cineas,2783,HP:0004935
2785,anomaly of circulatory system congenital unspecified,cineas,2785,
